"salary","years_exp","sex","bank_loan"
1158,20,"Man","No"
1012,21,"Man","No"
1631,13,"Man","No"
1934,17,"Man","Yes"
2116,19,"Man","Yes"
1867,19,"Man","Yes"
1146,13,"Woman","No"
1041,22,"Man","No"
1854,16,"Woman","No"
1175,19,"Woman","No"
1404,18,"Man","No"
1543,20,"Man","No"
968,13,"Man","No"
1659,23,"Man","Yes"
1602,25,"Man","Yes"
1740,17,"Woman","No"
1787,17,"Woman","No"
1252,24,"Man","No"
1091,19,"Woman","No"
1437,24,"Woman","No"
1817,26,"Man","Yes"
1782,20,"Man","Yes"
1368,10,"Woman","No"
1333,16,"Man","No"
1647,19,"Woman","No"
2245,20,"Woman","Yes"
1318,21,"Man","No"
1332,17,"Man","No"
1796,14,"Woman","No"
1858,23,"Woman","Yes"
1234,21,"Woman","No"
1809,24,"Man","Yes"
1410,18,"Woman","No"
1128,17,"Woman","No"
967,33,"Woman","No"
983,25,"Woman","No"
997,29,"Man","No"
1571,14,"Man","No"
1120,13,"Man","No"
1557,21,"Man","Yes"
1640,17,"Woman","No"
1403,17,"Woman","No"
1580,25,"Man","Yes"
962,17,"Man","No"
1614,30,"Man","Yes"
1549,17,"Man","No"
1654,10,"Man","No"
1824,20,"Man","Yes"
1445,19,"Woman","No"
1024,8,"Man","No"
1691,22,"Woman","No"
877,17,"Woman","No"
1910,17,"Woman","No"
1993,23,"Man","Yes"
1454,21,"Woman","No"
1358,22,"Man","No"
1524,28,"Man","Yes"
1631,26,"Man","Yes"
1117,21,"Woman","No"
1883,19,"Woman","No"
2016,16,"Woman","No"
1904,29,"Woman","Yes"
1600,18,"Man","No"
1112,19,"Man","No"
1808,14,"Woman","No"
1578,13,"Woman","No"
1273,20,"Woman","No"
1704,26,"Man","Yes"
1724,30,"Woman","Yes"
1440,21,"Woman","No"
1232,21,"Man","No"
1491,20,"Woman","No"
1377,19,"Woman","No"
1456,12,"Man","No"
1333,22,"Man","No"
1174,25,"Man","No"
1347,18,"Man","No"
1344,24,"Man","Yes"
2048,21,"Woman","Yes"
1249,25,"Man","Yes"
1312,21,"Man","No"
1020,18,"Woman","No"
1437,23,"Woman","No"
1425,20,"Man","No"
1588,19,"Man","No"
1948,21,"Woman","Yes"
1992,28,"Woman","Yes"
1510,16,"Woman","No"
2015,22,"Man","Yes"
935,32,"Man","Yes"
1744,19,"Woman","No"
1761,17,"Man","Yes"
2093,21,"Man","Yes"
1468,17,"Man","No"
1595,13,"Man","No"
1393,20,"Woman","No"
1076,20,"Man","No"
1771,19,"Woman","No"
1505,29,"Man","Yes"
1438,25,"Woman","No"
1261,19,"Man","No"
1432,19,"Woman","No"
1313,16,"Man","No"
1731,9,"Man","No"
1624,25,"Man","Yes"
1461,19,"Woman","No"
1741,16,"Man","No"
1575,19,"Woman","No"
1407,17,"Man","No"
1823,16,"Man","Yes"
1356,31,"Woman","Yes"
1607,10,"Woman","No"
1329,24,"Woman","No"
1371,19,"Woman","No"
1736,22,"Man","Yes"
1254,24,"Woman","No"
1289,22,"Woman","No"
1717,27,"Woman","Yes"
1272,18,"Man","No"
1573,25,"Woman","Yes"
925,12,"Woman","No"
1343,18,"Man","No"
1552,20,"Woman","No"
1443,23,"Woman","No"
1381,26,"Woman","No"
2015,19,"Man","Yes"
1466,23,"Woman","No"
1753,8,"Woman","No"
1190,15,"Man","No"
1510,20,"Man","No"
1271,18,"Woman","No"
1171,16,"Man","No"
1404,27,"Man","Yes"
1671,18,"Woman","No"
1288,20,"Man","No"
1615,35,"Man","Yes"
1780,19,"Man","Yes"
1259,19,"Woman","No"
1253,18,"Woman","No"
1173,20,"Man","No"
1407,25,"Man","Yes"
1354,24,"Woman","No"
1521,19,"Woman","No"
1018,19,"Man","No"
1317,19,"Man","No"
1750,19,"Woman","No"
1190,9,"Woman","No"
1049,17,"Man","No"
1830,18,"Man","Yes"
1357,12,"Woman","No"
1409,23,"Man","Yes"
1560,17,"Man","No"
1720,25,"Woman","Yes"
1306,24,"Man","Yes"
2136,16,"Man","Yes"
1344,22,"Woman","No"
1720,13,"Man","No"
1195,10,"Woman","No"
1704,21,"Woman","No"
1675,17,"Man","No"
1117,21,"Woman","No"
1093,16,"Woman","No"
1070,18,"Man","No"
1476,12,"Woman","No"
1958,29,"Man","Yes"
1259,23,"Man","No"
670,13,"Woman","No"
1410,19,"Woman","No"
1413,28,"Woman","Yes"
1655,15,"Man","No"
1777,19,"Man","Yes"
1479,18,"Man","No"
1054,21,"Man","No"
1579,18,"Woman","No"
698,24,"Woman","No"
1695,27,"Man","Yes"
1225,16,"Woman","No"
1486,18,"Woman","No"
1767,10,"Man","No"
1031,23,"Man","No"
1723,20,"Woman","No"
1589,18,"Man","No"
1653,22,"Man","Yes"
1031,14,"Woman","No"
1104,16,"Woman","No"
1344,27,"Man","Yes"
1880,18,"Woman","No"
1254,15,"Man","No"
1504,14,"Woman","No"
1397,16,"Woman","No"
1357,26,"Man","Yes"
1825,7,"Woman","No"
1971,22,"Woman","Yes"
2400,16,"Woman","Yes"
1878,21,"Woman","Yes"
1911,26,"Woman","Yes"
1825,19,"Man","Yes"
1395,17,"Woman","No"
1361,4,"Man","No"
1854,22,"Woman","Yes"
1199,19,"Woman","No"
1472,13,"Woman","No"
1394,24,"Woman","No"
1479,11,"Man","No"
1879,28,"Man","Yes"
1521,23,"Man","Yes"
1392,22,"Man","No"
1321,21,"Man","No"
1447,25,"Woman","No"
1492,27,"Woman","Yes"
1370,23,"Man","Yes"
1387,18,"Woman","No"
1510,24,"Woman","No"
1453,17,"Man","No"
1252,20,"Man","No"
1411,17,"Woman","No"
1753,27,"Man","Yes"
1634,17,"Man","No"
1547,16,"Woman","No"
1782,25,"Man","Yes"
1295,27,"Man","Yes"
1482,17,"Woman","No"
1418,22,"Woman","No"
1667,22,"Woman","No"
1205,25,"Woman","No"
1544,20,"Man","No"
945,14,"Man","No"
1740,15,"Man","No"
984,23,"Woman","No"
1136,17,"Woman","No"
1519,23,"Man","Yes"
1034,15,"Man","No"
1459,24,"Man","Yes"
1203,17,"Man","No"
2300,26,"Woman","Yes"
1613,23,"Woman","No"
1098,11,"Man","No"
1281,26,"Woman","No"
1548,21,"Woman","No"
1825,25,"Woman","Yes"
1406,19,"Woman","No"
926,20,"Woman","No"
1398,27,"Man","Yes"
1413,34,"Man","Yes"
1442,18,"Woman","No"
1358,17,"Man","No"
1318,18,"Man","No"
1612,26,"Woman","Yes"
2104,23,"Woman","Yes"
1478,19,"Man","No"
1440,23,"Man","Yes"
1949,22,"Woman","Yes"
1241,18,"Woman","No"
2084,26,"Man","Yes"
1609,18,"Woman","No"
1701,16,"Woman","No"
1528,20,"Man","No"
1800,21,"Woman","Yes"
1199,24,"Man","No"
1585,19,"Woman","No"
1003,15,"Woman","No"
1833,18,"Woman","No"
2157,17,"Woman","Yes"
1461,18,"Man","No"
2059,19,"Man","Yes"
1400,3,"Man","No"
1365,20,"Man","No"
1649,18,"Man","No"
887,14,"Man","No"
1716,23,"Man","Yes"
1857,13,"Man","No"
1620,17,"Man","No"
1451,29,"Woman","Yes"
1495,19,"Woman","No"
1495,20,"Woman","No"
1835,27,"Man","Yes"
979,17,"Woman","No"
1117,15,"Man","No"
1417,19,"Woman","No"
1889,23,"Man","Yes"
876,19,"Woman","No"
1949,19,"Woman","Yes"
1586,11,"Man","No"
1548,24,"Woman","No"
1932,30,"Woman","Yes"
1445,26,"Woman","No"
1010,18,"Woman","No"
1068,14,"Woman","No"
1223,15,"Man","No"
1248,21,"Man","No"
2161,14,"Man","Yes"
1273,25,"Man","Yes"
1520,16,"Woman","No"
1144,26,"Man","No"
1358,12,"Woman","No"
1317,17,"Man","No"
1392,24,"Woman","No"
1491,28,"Man","Yes"
1508,30,"Man","Yes"
1175,18,"Woman","No"
1782,27,"Woman","Yes"
1705,17,"Man","No"
1488,18,"Man","No"
1621,13,"Man","No"
1520,13,"Woman","No"
959,19,"Woman","No"
1244,17,"Woman","No"
2166,22,"Man","Yes"
1682,22,"Man","Yes"
1604,19,"Woman","No"
1767,22,"Man","Yes"
1747,16,"Woman","No"
1653,23,"Man","Yes"
1532,25,"Woman","No"
1207,22,"Man","No"
1578,25,"Man","Yes"
580,20,"Man","No"
1062,14,"Woman","No"
1489,19,"Man","No"
1596,16,"Man","No"
1112,15,"Man","No"
1487,24,"Woman","No"
1778,17,"Man","Yes"
1301,20,"Man","No"
1865,23,"Man","Yes"
1652,25,"Woman","Yes"
1752,22,"Woman","Yes"
1694,22,"Woman","No"
1403,17,"Woman","No"
1494,24,"Man","Yes"
1523,22,"Woman","No"
1373,23,"Woman","No"
1633,11,"Man","No"
1205,26,"Woman","No"
1188,15,"Man","No"
1312,19,"Woman","No"
1703,23,"Woman","Yes"
1355,24,"Woman","No"
1478,25,"Woman","No"
1226,12,"Woman","No"
2013,22,"Man","Yes"
903,22,"Man","No"
1851,25,"Woman","Yes"
1725,17,"Woman","No"
1623,16,"Woman","No"
1752,11,"Woman","No"
1097,26,"Man","No"
1500,17,"Woman","No"
1750,15,"Woman","No"
1025,21,"Man","No"
1651,22,"Woman","No"
1029,19,"Man","No"
1522,19,"Woman","No"
1080,16,"Woman","No"
1466,24,"Man","Yes"
1512,18,"Woman","No"
1643,14,"Woman","No"
1722,15,"Woman","No"
1583,14,"Woman","No"
1365,18,"Woman","No"
1519,25,"Man","Yes"
1180,21,"Man","No"
1582,17,"Woman","No"
1081,25,"Woman","No"
1724,30,"Man","Yes"
2093,12,"Man","Yes"
1407,29,"Man","Yes"
1763,19,"Woman","No"
1121,20,"Man","No"
1325,19,"Man","No"
1444,20,"Woman","No"
1874,17,"Woman","No"
969,17,"Man","No"
568,22,"Man","No"
1542,22,"Woman","No"
1692,20,"Man","Yes"
1301,18,"Man","No"
1759,26,"Man","Yes"
1496,16,"Woman","No"
1218,24,"Man","No"
1660,15,"Man","No"
1165,28,"Man","Yes"
1362,19,"Man","No"
1393,26,"Woman","No"
1112,33,"Woman","Yes"
1254,13,"Woman","No"
1726,17,"Woman","No"
1640,14,"Woman","No"
1691,17,"Woman","No"
1045,19,"Man","No"
1889,20,"Woman","Yes"
1617,25,"Woman","Yes"
1334,23,"Man","No"
1603,21,"Woman","No"
970,17,"Man","No"
1774,15,"Man","No"
1558,15,"Woman","No"
1431,5,"Man","No"
1285,18,"Woman","No"
1919,17,"Man","Yes"
1365,11,"Woman","No"
1722,22,"Woman","No"
1002,21,"Woman","No"
1401,16,"Man","No"
1394,21,"Woman","No"
2068,23,"Woman","Yes"
1448,21,"Woman","No"
1491,22,"Woman","No"
1552,16,"Woman","No"
1178,22,"Woman","No"
2075,27,"Woman","Yes"
1469,25,"Woman","No"
1387,24,"Woman","No"
1129,23,"Man","No"
1354,16,"Man","No"
1638,20,"Man","Yes"
1530,29,"Woman","Yes"
1372,19,"Man","No"
578,18,"Woman","No"
1257,20,"Man","No"
1452,16,"Woman","No"
1941,21,"Woman","Yes"
1427,23,"Woman","No"
1468,25,"Man","Yes"
1730,23,"Woman","Yes"
1531,14,"Woman","No"
1746,29,"Woman","Yes"
1137,20,"Woman","No"
1046,19,"Woman","No"
1788,24,"Woman","Yes"
1825,10,"Woman","No"
1175,23,"Man","No"
1362,27,"Woman","No"
1694,9,"Woman","No"
1252,28,"Woman","No"
1809,14,"Woman","No"
1559,15,"Man","No"
2064,20,"Woman","Yes"
1737,25,"Man","Yes"
1850,16,"Woman","No"
1261,23,"Woman","No"
1514,17,"Woman","No"
1314,18,"Man","No"
1457,19,"Man","No"
1587,15,"Man","No"
1477,13,"Man","No"
1665,24,"Woman","Yes"
1596,18,"Woman","No"
1178,20,"Man","No"
1850,20,"Man","Yes"
1640,18,"Man","No"
1928,19,"Woman","Yes"
1539,22,"Woman","No"
1776,13,"Man","No"
1253,19,"Man","No"
1569,24,"Man","Yes"
2265,24,"Woman","Yes"
1192,18,"Woman","No"
836,26,"Man","No"
1144,13,"Woman","No"
1915,11,"Woman","No"
1555,15,"Woman","No"
919,22,"Woman","No"
1496,19,"Man","No"
1849,14,"Woman","No"
1662,22,"Woman","No"
1380,22,"Woman","No"
1827,19,"Man","Yes"
1622,16,"Woman","No"
1593,11,"Woman","No"
1503,22,"Man","Yes"
1322,13,"Woman","No"
1194,19,"Man","No"
1617,11,"Man","No"
1551,21,"Man","Yes"
1652,20,"Man","Yes"
1188,17,"Woman","No"
1703,10,"Man","No"
1670,18,"Man","Yes"
1802,21,"Man","Yes"
1224,15,"Man","No"
976,22,"Man","No"
2297,17,"Man","Yes"
1074,19,"Man","No"
1936,18,"Man","Yes"
1908,21,"Man","Yes"
1437,17,"Man","No"
1616,19,"Woman","No"
1358,18,"Woman","No"
1022,19,"Man","No"
1369,13,"Man","No"
1302,17,"Woman","No"
1409,11,"Woman","No"
1290,23,"Man","No"
1422,14,"Woman","No"
1406,21,"Man","No"
1341,17,"Woman","No"
1215,25,"Woman","No"
1489,16,"Man","No"
1515,10,"Woman","No"
996,8,"Man","No"
1159,31,"Man","Yes"
1447,14,"Woman","No"
1880,17,"Man","Yes"
1523,17,"Man","No"
1463,21,"Man","No"
1849,18,"Man","Yes"
1494,26,"Man","Yes"
1636,20,"Man","Yes"
1728,23,"Woman","Yes"
1120,24,"Man","No"
1945,26,"Woman","Yes"
2178,21,"Woman","Yes"
1506,11,"Woman","No"
1082,22,"Woman","No"
1340,27,"Man","Yes"
1913,20,"Man","Yes"
1636,22,"Man","Yes"
1640,21,"Man","Yes"
1510,21,"Man","Yes"
1013,28,"Woman","No"
1862,23,"Man","Yes"
1379,25,"Woman","No"
1639,21,"Man","Yes"
1798,22,"Woman","Yes"
1626,20,"Woman","No"
1674,21,"Woman","No"
1777,24,"Woman","Yes"
988,23,"Woman","No"
1636,22,"Man","Yes"
1571,21,"Woman","No"
1683,23,"Woman","Yes"
1683,18,"Man","Yes"
1681,20,"Woman","No"
1788,15,"Woman","No"
1274,25,"Man","Yes"
1395,28,"Woman","Yes"
1331,23,"Man","No"
1296,14,"Man","No"
844,27,"Woman","No"
1230,23,"Man","No"
993,26,"Man","No"
1489,30,"Man","Yes"
1455,22,"Woman","No"
1267,18,"Woman","No"
871,14,"Woman","No"
1355,29,"Man","Yes"
1453,28,"Woman","Yes"
1693,20,"Woman","No"
1572,21,"Woman","No"
1632,20,"Woman","No"
1393,17,"Woman","No"
1745,23,"Woman","Yes"
2130,18,"Man","Yes"
2027,14,"Man","Yes"
1727,13,"Man","No"
832,14,"Man","No"
1535,18,"Man","No"
1473,19,"Woman","No"
1585,26,"Woman","Yes"
2136,14,"Woman","No"
1914,11,"Woman","No"
1668,19,"Woman","No"
1748,19,"Woman","No"
1316,19,"Woman","No"
1444,16,"Man","No"
1504,24,"Man","Yes"
1201,22,"Man","No"
1763,24,"Woman","Yes"
1753,25,"Woman","Yes"
1459,14,"Man","No"
1326,27,"Woman","No"
1447,18,"Man","No"
1414,24,"Man","Yes"
1182,24,"Woman","No"
1534,19,"Woman","No"
1678,20,"Woman","No"
2130,21,"Woman","Yes"
1252,18,"Woman","No"
999,14,"Woman","No"
1176,17,"Man","No"
1672,13,"Man","No"
1122,12,"Man","No"
1607,15,"Woman","No"
850,12,"Woman","No"
2130,25,"Man","Yes"
1309,23,"Woman","No"
1555,24,"Woman","No"
1504,16,"Man","No"
1491,12,"Woman","No"
1810,18,"Woman","No"
1827,23,"Woman","Yes"
1379,21,"Man","No"
1313,21,"Woman","No"
1332,26,"Woman","No"
1418,20,"Man","No"
1125,23,"Woman","No"
1239,22,"Woman","No"
1460,23,"Man","Yes"
1441,21,"Woman","No"
1439,20,"Man","No"
1321,10,"Man","No"
1635,15,"Woman","No"
1368,23,"Woman","No"
1380,16,"Woman","No"
1777,20,"Woman","No"
1072,19,"Woman","No"
1815,19,"Man","Yes"
1268,12,"Man","No"
1243,24,"Woman","No"
972,22,"Woman","No"
1579,16,"Man","No"
1067,24,"Woman","No"
1173,25,"Man","No"
1253,19,"Woman","No"
1506,12,"Woman","No"
1154,6,"Woman","No"
1639,17,"Woman","No"
2120,15,"Woman","No"
1360,17,"Woman","No"
1003,14,"Man","No"
1485,18,"Man","No"
941,19,"Man","No"
1778,16,"Woman","No"
1759,22,"Woman","Yes"
1350,23,"Man","No"
1676,8,"Woman","No"
1122,17,"Woman","No"
1536,25,"Woman","No"
1260,22,"Man","No"
811,10,"Woman","No"
746,26,"Woman","No"
1096,17,"Man","No"
1684,22,"Man","Yes"
1689,19,"Man","Yes"
1927,23,"Man","Yes"
1505,13,"Woman","No"
1324,21,"Man","No"
1454,25,"Woman","No"
1857,10,"Man","No"
864,19,"Man","No"
1098,21,"Man","No"
1791,14,"Man","No"
1481,14,"Woman","No"
1696,23,"Woman","Yes"
1819,24,"Man","Yes"
1742,18,"Woman","No"
1945,16,"Woman","No"
1406,28,"Woman","Yes"
1614,13,"Woman","No"
1767,20,"Man","Yes"
1064,21,"Man","No"
1052,18,"Man","No"
1247,23,"Woman","No"
1720,13,"Man","No"
1223,17,"Woman","No"
1757,20,"Woman","No"
1268,22,"Woman","No"
820,13,"Woman","No"
1225,19,"Woman","No"
1159,17,"Man","No"
1227,24,"Man","No"
1704,33,"Woman","Yes"
1289,7,"Man","No"
1194,22,"Man","No"
1895,14,"Woman","No"
1467,23,"Woman","No"
1684,23,"Woman","Yes"
1857,25,"Woman","Yes"
1244,24,"Woman","No"
1508,16,"Woman","No"
1677,23,"Man","Yes"
1479,23,"Man","Yes"
1648,16,"Man","No"
1596,29,"Woman","Yes"
1874,24,"Man","Yes"
1738,17,"Man","Yes"
1981,23,"Woman","Yes"
1287,21,"Man","No"
1769,23,"Woman","Yes"
1779,20,"Man","Yes"
1710,25,"Woman","Yes"
1303,14,"Man","No"
1646,17,"Man","No"
2059,15,"Man","Yes"
1799,12,"Man","No"
1383,12,"Woman","No"
1709,16,"Woman","No"
1746,25,"Woman","Yes"
1767,23,"Woman","Yes"
1511,27,"Woman","Yes"
1569,19,"Woman","No"
1297,16,"Man","No"
992,20,"Woman","No"
1456,24,"Man","Yes"
1545,26,"Woman","Yes"
1294,20,"Woman","No"
1481,25,"Woman","No"
1782,19,"Man","Yes"
1365,16,"Man","No"
1332,20,"Woman","No"
1863,13,"Man","No"
1797,15,"Woman","No"
1708,27,"Man","Yes"
1881,17,"Woman","No"
1657,20,"Woman","No"
1607,14,"Man","No"
1003,24,"Man","No"
1644,18,"Woman","No"
1127,19,"Woman","No"
1502,17,"Man","No"
1205,26,"Man","Yes"
1948,12,"Woman","No"
1318,23,"Woman","No"
1431,14,"Woman","No"
1458,26,"Man","Yes"
1313,17,"Man","No"
1182,19,"Man","No"
1909,26,"Woman","Yes"
1815,20,"Man","Yes"
1072,30,"Woman","No"
1923,28,"Man","Yes"
1602,12,"Man","No"
1377,19,"Man","No"
1395,22,"Woman","No"
1085,19,"Woman","No"
1200,19,"Man","No"
1636,26,"Woman","Yes"
1613,24,"Woman","Yes"
1454,23,"Man","Yes"
943,19,"Woman","No"
1559,19,"Woman","No"
1199,20,"Woman","No"
1421,18,"Woman","No"
1357,18,"Woman","No"
1624,21,"Woman","No"
1729,23,"Woman","Yes"
1736,19,"Man","Yes"
1266,18,"Woman","No"
1622,23,"Woman","No"
1545,21,"Woman","No"
1342,12,"Woman","No"
1321,27,"Man","Yes"
1574,16,"Woman","No"
1378,23,"Woman","No"
1291,18,"Woman","No"
1713,21,"Man","Yes"
1756,20,"Woman","No"
1431,14,"Woman","No"
1200,23,"Man","No"
1673,14,"Man","No"
1314,25,"Woman","No"
958,23,"Man","No"
1782,11,"Woman","No"
1432,15,"Woman","No"
1363,20,"Woman","No"
1047,20,"Woman","No"
1478,31,"Man","Yes"
1260,19,"Man","No"
1292,15,"Man","No"
1184,18,"Woman","No"
1571,21,"Woman","No"
916,19,"Man","No"
1219,15,"Woman","No"
1765,22,"Woman","Yes"
1329,25,"Man","Yes"
1895,26,"Man","Yes"
1122,13,"Man","No"
1417,28,"Man","Yes"
1612,13,"Woman","No"
1527,21,"Man","Yes"
867,21,"Woman","No"
1673,21,"Woman","No"
1183,19,"Man","No"
1032,22,"Woman","No"
1407,19,"Woman","No"
1827,14,"Man","No"
1673,14,"Woman","No"
1277,22,"Woman","No"
1002,15,"Man","No"
1422,26,"Woman","No"
1767,16,"Man","No"
1693,14,"Woman","No"
1367,25,"Man","Yes"
1346,26,"Man","Yes"
1514,17,"Man","No"
1208,18,"Woman","No"
1462,23,"Man","Yes"
1649,19,"Woman","No"
1494,20,"Woman","No"
803,20,"Woman","No"
1685,36,"Man","Yes"
1564,26,"Woman","Yes"
1264,23,"Man","No"
1613,23,"Woman","No"
1112,17,"Man","No"
1233,23,"Man","No"
1522,24,"Woman","No"
1662,16,"Man","No"
1665,21,"Man","Yes"
1152,12,"Man","No"
1932,24,"Man","Yes"
1288,27,"Woman","No"
1210,13,"Woman","No"
1653,20,"Man","Yes"
1446,20,"Woman","No"
1288,13,"Woman","No"
1791,21,"Woman","Yes"
1328,15,"Man","No"
2074,21,"Woman","Yes"
1338,20,"Man","No"
1722,22,"Woman","No"
1827,11,"Man","No"
1519,13,"Man","No"
1115,15,"Woman","No"
2021,14,"Man","Yes"
1769,12,"Woman","No"
1177,11,"Man","No"
1643,19,"Woman","No"
888,21,"Man","No"
1843,24,"Man","Yes"
1452,13,"Man","No"
1695,17,"Man","No"
1089,22,"Woman","No"
1190,20,"Woman","No"
1799,15,"Woman","No"
1619,17,"Woman","No"
1421,18,"Woman","No"
1102,18,"Man","No"
1502,18,"Woman","No"
1404,12,"Man","No"
1456,23,"Man","Yes"
1964,11,"Woman","No"
1563,22,"Man","Yes"
1084,16,"Woman","No"
1250,8,"Woman","No"
854,21,"Woman","No"
1522,14,"Woman","No"
1818,23,"Man","Yes"
1682,16,"Woman","No"
1652,21,"Woman","No"
1533,14,"Man","No"
1865,21,"Woman","Yes"
1310,10,"Woman","No"
1357,19,"Woman","No"
1804,11,"Man","No"
1571,26,"Woman","Yes"
1447,20,"Woman","No"
1416,15,"Man","No"
1297,12,"Woman","No"
1759,20,"Man","Yes"
1324,12,"Man","No"
1618,21,"Man","Yes"
1531,17,"Man","No"
1475,14,"Man","No"
1495,23,"Woman","No"
1309,28,"Man","Yes"
1957,17,"Man","Yes"
1296,21,"Woman","No"
1201,14,"Woman","No"
1676,25,"Woman","Yes"
1788,20,"Woman","No"
1927,16,"Man","Yes"
2160,10,"Woman","No"
907,25,"Woman","No"
1501,18,"Woman","No"
1659,20,"Man","Yes"
1228,23,"Woman","No"
1531,28,"Man","Yes"
1498,23,"Man","Yes"
1731,15,"Man","No"
986,18,"Woman","No"
2269,23,"Man","Yes"
1778,17,"Woman","No"
1288,19,"Woman","No"
1639,18,"Woman","No"
1630,21,"Woman","No"
1825,26,"Woman","Yes"
1598,18,"Woman","No"
1626,20,"Woman","No"
1385,19,"Man","No"
1585,21,"Woman","No"
1319,23,"Man","No"
1805,25,"Man","Yes"
1782,22,"Man","Yes"
1725,23,"Woman","Yes"
1508,20,"Man","No"
1882,20,"Woman","Yes"
1458,14,"Man","No"
1965,24,"Woman","Yes"
1385,13,"Woman","No"
1545,12,"Man","No"
1863,22,"Man","Yes"
1149,14,"Woman","No"
1627,17,"Man","No"
1903,19,"Woman","No"
571,10,"Woman","No"
1372,27,"Woman","No"
1621,19,"Woman","No"
1120,21,"Woman","No"
1478,18,"Woman","No"
1166,21,"Man","No"
1010,21,"Man","No"
1772,26,"Man","Yes"
2074,19,"Woman","Yes"
1050,26,"Man","No"
1942,21,"Man","Yes"
1109,21,"Woman","No"
1334,22,"Man","No"
1551,19,"Woman","No"
969,31,"Woman","No"
1259,27,"Woman","No"
1442,25,"Man","Yes"
1002,23,"Man","No"
1285,16,"Woman","No"
1518,19,"Woman","No"
1258,11,"Man","No"
1792,28,"Man","Yes"
864,21,"Man","No"
1403,9,"Man","No"
1868,22,"Man","Yes"
1213,22,"Woman","No"
1728,25,"Woman","Yes"
1287,24,"Man","No"
1574,15,"Man","No"
1785,25,"Man","Yes"
1525,26,"Woman","Yes"
1308,19,"Woman","No"
1590,14,"Woman","No"
1832,18,"Woman","No"
1392,25,"Woman","No"
932,25,"Woman","No"
2438,22,"Man","Yes"
1049,23,"Woman","No"
1049,21,"Man","No"
938,15,"Man","No"
1441,16,"Woman","No"
1178,16,"Man","No"
1348,20,"Man","No"
1515,14,"Woman","No"
1568,25,"Man","Yes"
1609,20,"Woman","No"
2169,21,"Woman","Yes"
1349,22,"Man","No"
2012,21,"Woman","Yes"
2123,24,"Woman","Yes"
1728,18,"Woman","No"
1282,13,"Man","No"
1517,19,"Woman","No"
1502,15,"Woman","No"
1729,17,"Man","Yes"
1351,24,"Man","Yes"
1367,11,"Man","No"
1241,17,"Woman","No"
1180,9,"Man","No"
1246,16,"Man","No"
1213,19,"Man","No"
1423,17,"Woman","No"
1591,20,"Man","Yes"
1111,23,"Woman","No"
1562,16,"Woman","No"
1272,14,"Woman","No"
1291,15,"Woman","No"
1701,19,"Woman","No"
1585,20,"Man","Yes"
1362,20,"Man","No"
1774,18,"Man","Yes"
1870,15,"Man","Yes"
1266,24,"Man","No"
1812,22,"Woman","Yes"
2237,15,"Man","Yes"
1844,17,"Woman","No"
1708,20,"Woman","No"
1211,23,"Man","No"
1506,20,"Man","No"
1586,22,"Man","Yes"
1496,16,"Woman","No"
1257,25,"Woman","No"
892,28,"Woman","No"
1339,22,"Woman","No"
1609,21,"Man","Yes"
1318,25,"Woman","No"
1584,26,"Woman","Yes"
1044,23,"Man","No"
1385,19,"Man","No"
1691,20,"Woman","No"
1367,20,"Woman","No"
1194,19,"Man","No"
1489,24,"Man","Yes"
1609,29,"Man","Yes"
1029,22,"Man","No"
1763,16,"Man","No"
1662,16,"Woman","No"
1891,10,"Woman","No"
1096,28,"Man","Yes"
1460,22,"Man","Yes"
1319,21,"Man","No"
1660,23,"Woman","No"
1913,16,"Woman","No"
1985,28,"Man","Yes"
1464,27,"Man","Yes"
853,22,"Man","No"
1133,13,"Man","No"
1880,16,"Man","Yes"
1473,28,"Woman","Yes"
1515,20,"Man","No"
1596,15,"Man","No"
1132,22,"Man","No"
1585,20,"Man","Yes"
1797,19,"Man","Yes"
1807,22,"Woman","Yes"
1974,28,"Woman","Yes"
1188,9,"Man","No"
1282,19,"Woman","No"
1320,23,"Woman","No"
1605,22,"Woman","No"
1580,12,"Man","No"
1109,23,"Woman","No"
1387,24,"Woman","No"
862,17,"Woman","No"
1556,25,"Man","Yes"
1683,8,"Man","No"
1303,14,"Woman","No"
1835,12,"Woman","No"
1527,22,"Woman","No"
1677,20,"Man","Yes"
1262,19,"Man","No"
1294,21,"Man","No"
1564,27,"Man","Yes"
1732,19,"Man","Yes"
1122,27,"Man","No"
1073,18,"Man","No"
1216,12,"Woman","No"
1587,19,"Man","No"
1031,24,"Woman","No"
1362,20,"Man","No"
1789,23,"Woman","Yes"
1392,29,"Woman","Yes"
1355,16,"Woman","No"
1457,21,"Man","No"
1565,23,"Man","Yes"
1547,11,"Woman","No"
1510,14,"Woman","No"
1738,16,"Woman","No"
1403,18,"Man","No"
1309,15,"Woman","No"
1648,11,"Woman","No"
1393,23,"Woman","No"
1204,19,"Woman","No"
1057,19,"Man","No"
1360,15,"Man","No"
1836,18,"Woman","No"
1533,13,"Man","No"
1522,18,"Woman","No"
1273,24,"Woman","No"
1864,13,"Woman","No"
967,10,"Woman","No"
2038,21,"Woman","Yes"
1457,17,"Woman","No"
1674,17,"Man","No"
1485,18,"Woman","No"
911,21,"Woman","No"
1199,21,"Woman","No"
1399,15,"Man","No"
1321,16,"Woman","No"
1659,16,"Man","No"
1534,16,"Man","No"
1297,14,"Man","No"
1903,15,"Woman","No"
1116,21,"Woman","No"
1832,22,"Man","Yes"
